NUMERO;CSP;IFSI;PROMO;SEXE;ANNEE;QUESTION1;QUESTION2;QUESTION3;QUESTION4;QUESTION5;QUESTION6;QUESTION7;QUESTION8;QUESTION9;QUESTIO10;QUESTIO11;QUESTION12;QUESTION13;QUESTION14;QUESTION15;QUESTION16;QUESTION17;QUESTION18;QUESTION19;QUESTION20;QUESTION21;QUESTION22;QUESTION23;QUESTION24;QUESTION25;QUESTION26;RANG;Meme place;Affinites;Habitude;Pas Bruit;Pratique;Plac restante;rester conc;;Decrocher;;;;;;;;
1;EI;BRU 1;2012/2015;F;1987;5;6;7;5;5;6;7;6;7;7;5;5;7;7;7;7;7;7;7;5;7;7;6;6;1;7;1;O;;;O;;;;;;;;;;;;;
2;EI;;;F;1993;7;5;5;4;4;5;6;7;5;7;4;4;6;7;4;4;4;6;7;5;5;7;7;4;5;5;1;O;;;O;;;;;;;;;;;;;
3;EI;;;F;1993;7;7;6;5;5;7;3;7;3;6;6;4;6;7;7;6;5;6;7;5;6;7;7;5;3;4;1;O;;;O;;;;;;;;;;;;;
4;EI;;;F;1986;4;7;6;2;2;7;1;7;2;7;1;3;6;6;2;2;2;5;7;3;1;6;6;2;1;6;1;O;;;O;;;;;;;;;;;;;
5;EI;;;F;1970;7;5;6;5;4;7;5;7;7;7;6;3;5;6;7;6;6;7;7;6;6;6;7;6;7;7;1;O;;;O;;;;;;;;;;;;;
6;EI;;;M;1965;7;7;7;5;5;6;7;7;5;6;3;5;7;7;6;5;5;7;6;5;2;6;6;5;7;5;1;O;;;;;;;;;;;;;;;;
7;EI;;;F;1990;6;5;4;4;4;6;4;5;5;5;4;5;6;5;5;4;4;6;6;5;5;6;6;4;5;5;2;N;;;;;O;;;;;;;;;;;
8;EI;;;F;1989;7;6;5;4;4;3;7;7;4;5;5;4;7;6;6;5;5;5;5;6;7;7;6;5;7;5;2;O;;;;O;;;;;;;;;;;;
9;EI;;;F;1993;7;5;4;3;5;6;7;4;7;7;7;3;5;5;5;3;6;6;7;4;5;4;5;3;6;4;2;O;;;O;O;;;;;;;;;;;;
10;EI;;;F;1992;6;6;7;4;4;5;7;7;5;6;3;4;6;6;6;4;4;5;7;5;7;7;6;5;4;6;2;N;;;;;O;;;;;;;;;;;
11;EI;;;F;1985;7;7;5;5;6;6;7;6;4;7;4;7;7;5;6;6;5;6;5;5;6;5;5;6;5;6;2;O;;;O;O;;;;;;;;;;;;
12;EI;;;F;1973;7;4;6;3;4;6;3;7;7;7;5;4;7;6;5;4;4;7;7;7;4;7;7;4;7;4;2;O;;;O;O;;O;;;;;;;;;;
13;EI;;;F;1981;7;5;5;5;4;5;5;5;3;7;4;4;7;7;5;4;4;5;5;5;5;5;7;4;4;5;2;O;;;O;;;;;;;;;;;;;
14;EI;;;F;1991;7;5;7;5;7;7;5;7;7;7;7;7;7;7;7;5;5;7;7;6;5;7;7;5;7;7;2;O;;;O;O;;;;;;;;;;;;
15;EI;;;F;1986;6;6;6;3;4;3;4;4;1;7;1;4;6;6;6;3;4;4;6;6;4;7;5;4;1;5;3;O;;;;O;;;;;;;;;;;;
16;EI;;;F;1991;7;7;6;5;6;6;5;7;7;7;6;5;6;7;6;5;6;5;7;5;6;7;6;5;6;6;3;O;O;;O;;;;;;;;;;;;;
17;EI;;;M;1991;6;7;7;6;5;7;7;7;6;6;7;5;6;7;7;6;5;6;7;6;7;6;6;7;7;7;3;N;;;;O;;;;;;;;;;;;
18;EI;;;F;1993;5;4;4;2;3;6;6;6;6;7;3;3;7;5;7;4;4;5;6;3;4;4;5;4;4;4;3;O;;;;O;;;;;;;;;;;;
