"NUMERO";"IFSI";"PROMO";"SEXE";"ANNEE";"AGE";"QUESTION1";"QUESTION2";"QUESTION3";"QUESTION4";"QUESTION5";"QUESTION6";"QUESTION7";"QUESTION8";"QUESTION9";"QUESTION10";"QUESTION11";"QUESTION12";"QUESTION13";"QUESTION14";"QUESTION15";"QUESTION16";"QUESTION17";"QUESTION18";"QUESTION19";"QUESTION20";"QUESTION21";"QUESTION22";"QUESTION23";"QUESTION24";"QUESTION25";"QUESTION26";"RANG";"meme place";"Affinites";"Habitude";"Pas Bruit";"Pratique";"Plac restante";"rester conc";"Decrocher";"LiKERT";"MI";"VT";"PC";"CO";"ME"
1;"BRU_1";"2012/2015";"F";1987;25;5;6;7;5;5;6;7;6;7;7;5;5;7;7;7;7;7;7;7;5;7;7;6;6;1;7;1;"O";"N";"N";"O";"N";"N";"N";"N";159;24;40;49;27;19
2;"BRU_1";"2012/2015";"F";1993;19;7;5;5;4;4;5;6;7;5;7;4;4;6;7;4;4;4;6;7;5;5;7;7;4;5;5;1;"O";"N";"N";"O";"N";"N";"N";"N";139;24;40;36;20;19
3;"BRU_1";"2012/2015";"F";1993;19;7;7;6;5;5;7;3;7;3;6;6;4;6;7;7;6;5;6;7;5;6;7;7;5;3;4;1;"O";"N";"N";"O";"N";"N";"N";"N";147;24;41;40;23;19
4;"BRU_1";"2012/2015";"F";1986;26;4;7;6;2;2;7;1;7;2;7;1;3;6;6;2;2;2;5;7;3;1;6;6;2;1;6;1;"O";"N";"N";"O";"N";"N";"N";"N";104;18;38;26;11;11
5;"BRU_1";"2012/2015";"F";1970;42;7;5;6;5;4;7;5;7;7;7;6;3;5;6;7;6;6;7;7;6;6;6;7;6;7;7;1;"O";"N";"N";"O";"N";"N";"N";"N";158;25;39;44;23;27
6;"BRU_1";"2012/2015";"M";1965;47;7;7;7;5;5;6;7;7;5;6;3;5;7;7;6;5;5;7;6;5;2;6;6;5;7;5;1;"O";"N";"N";"N";"N";"N";"N";"N";149;26;39;41;22;21
7;"BRU_1";"2012/2015";"F";1990;22;6;5;4;4;4;6;4;5;5;5;4;5;6;5;5;4;4;6;6;5;5;6;6;4;5;5;2;"N";"N";"N";"N";"N";"O";"N";"N";129;23;32;35;19;20
8;"BRU_1";"2012/2015";"F";1989;23;7;6;5;4;4;3;7;7;4;5;5;4;7;6;6;5;5;5;5;6;7;7;6;5;7;5;2;"O";"N";"N";"N";"O";"N";"N";"N";143;25;36;37;26;19
9;"BRU_1";"2012/2015";"F";1993;19;7;5;4;3;5;6;7;4;7;7;7;3;5;5;5;3;6;6;7;4;5;4;5;3;6;4;2;"O";"N";"N";"O";"O";"N";"N";"N";133;22;29;34;22;26
10;"BRU_1";"2012/2015";"F";1992;20;6;6;7;4;4;5;7;7;5;6;3;4;6;6;6;4;4;5;7;5;7;7;6;5;4;6;2;"N";"N";"N";"N";"N";"O";"N";"N";142;22;40;37;26;17
11;"BRU_1";"2012/2015";"F";1985;27;7;7;5;5;6;6;7;6;4;7;4;7;7;5;6;6;5;6;5;5;6;5;5;6;5;6;2;"O";"N";"N";"O";"O";"N";"N";"N";149;25;31;48;26;19
12;"BRU_1";"2012/2015";"F";1973;39;7;4;6;3;4;6;3;7;7;7;5;4;7;6;5;4;4;7;7;7;4;7;7;4;7;4;2;"O";"N";"N";"O";"O";"N";"O";"N";143;28;40;34;16;25
13;"BRU_1";"2012/2015";"F";1981;31;7;5;5;5;4;5;5;5;3;7;4;4;7;7;5;4;4;5;5;5;5;5;7;4;4;5;2;"O";"N";"N";"O";"N";"N";"N";"N";131;24;34;37;20;16
14;"BRU_1";"2012/2015";"F";1991;21;7;5;7;5;7;7;5;7;7;7;7;7;7;7;7;5;5;7;7;6;5;7;7;5;7;7;2;"O";"N";"N";"O";"O";"N";"N";"N";167;27;42;48;22;28
15;"BRU_1";"2012/2015";"F";1986;26;6;6;6;3;4;3;4;4;1;7;1;4;6;6;6;3;4;4;6;6;4;7;5;4;1;5;3;"O";"N";"N";"N";"O";"N";"N";"N";116;22;34;34;20;6
16;"BRU_1";"2012/2015";"F";1991;21;7;7;6;5;6;6;5;7;7;7;6;5;6;7;6;5;6;5;7;5;6;7;6;5;6;6;3;"O";"O";"N";"O";"N";"N";"N";"N";157;23;40;45;24;25
17;"BRU_1";"2012/2015";"M";1991;21;6;7;7;6;5;7;7;7;6;6;7;5;6;7;7;6;5;6;7;6;7;6;6;7;7;7;3;"N";"N";"N";"N";"O";"N";"N";"N";166;24;40;47;28;27
18;"BRU_1";"2012/2015";"F";1993;19;5;4;4;2;3;6;6;6;6;7;3;3;7;5;7;4;4;5;6;3;4;4;5;4;4;4;3;"O";"N";"N";"N";"O";"N";"N";"N";121;20;30;31;21;19
19;"BRU_1";"2012/2015";"F";1988;24;6;4;5;3;2;5;7;7;6;5;4;2;5;5;6;4;4;6;6;5;6;5;5;5;6;6;3;"O";"N";"N";"N";"O";"N";"N";"N";130;22;33;31;23;21
20;"BRU_1";"2012/2015";"F";1969;43;7;7;7;6;6;7;3;7;7;7;5;6;6;7;4;6;6;7;6;4;4;6;7;6;4;6;3;"N";"N";"N";"N";"O";"N";"N";"N";154;24;40;49;18;23
21;"BRU_1";"2012/2015";"F";1980;32;7;7;6;7;4;7;7;7;7;7;7;4;7;7;4;7;6;7;7;1;6;7;7;7;7;6;3;"N";"O";"N";"N";"O";"N";"N";"N";163;22;41;48;24;28
22;"BRU_1";"2012/2015";"F";1992;20;6;7;7;5;5;6;7;7;5;6;4;5;6;7;7;5;5;6;7;7;7;7;7;5;6;5;3;"O";"N";"N";"N";"O";"N";"O";"N";157;25;42;41;28;21
23;"BRU_1";"2012/2015";"F";1978;34;6;6;6;4;4;6;7;7;6;6;5;4;6;6;6;4;4;6;6;4;4;6;6;4;6;5;3;"O";"N";"N";"N";"O";"N";"N";"N";140;22;37;35;23;23
24;"BRU_1";"2012/2015";"F";1992;20;7;7;7;5;5;6;7;7;6;7;6;5;5;6;7;5;5;6;6;5;7;6;5;5;7;6;4;"O";"N";"O";"N";"O";"N";"N";"N";156;23;37;43;28;25
25;"BRU_1";"2012/2015";"F";1989;23;7;6;4;5;5;6;7;7;7;7;5;4;5;7;6;2;3;4;7;3;3;7;7;3;4;4;4;"O";"O";"N";"N";"N";"N";"O";"N";135;19;39;33;22;22
26;"BRU_1";"2012/2015";"F";1993;19;7;7;5;4;5;7;7;7;7;7;7;5;6;7;7;1;4;7;7;4;7;7;7;3;4;4;4;"O";"N";"N";"N";"O";"N";"N";"N";150;24;40;33;28;25
27;"BRU_1";"2012/2015";"M";1991;21;5;3;5;3;3;6;6;5;5;5;4;2;4;3;5;3;3;4;6;4;6;5;5;4;3;4;4;"N";"N";"N";"N";"O";"N";"N";"N";111;17;29;27;20;18
28;"BRU_1";"2012/2015";"M";1991;21;6;6;6;4;4;5;6;6;4;7;1;5;7;5;5;4;4;7;7;6;4;4;6;4;5;6;4;"N";"N";"N";"N";"N";"O";"N";"N";134;26;34;38;21;15
29;"BRU_1";"2012/2015";"F";1976;36;7;6;4;4;4;6;4;6;7;5;2;3;6;6;5;3;3;7;6;4;4;4;5;4;4;3;4;"O";"N";"N";"N";"N";"N";"N";"N";122;24;31;29;19;19
30;"BRU_1";"2012/2015";"M";1992;20;2;7;7;5;7;4;7;7;5;7;1;7;2;6;7;5;4;5;7;4;5;6;7;5;1;4;4;"N";"N";"N";"N";"N";"O";"N";"N";134;13;40;44;26;11
31;"BRU_1";"2012/2015";"F";1993;19;5;7;7;4;5;4;7;7;5;7;4;4;7;5;7;4;4;5;7;5;7;6;5;4;5;5;4;"N";"N";"N";"N";"N";"O";"N";"N";142;22;37;37;28;18
32;"BRU_1";"2012/2015";"F";1978;34;5;6;6;2;2;6;7;6;4;4;5;2;5;5;5;3;5;5;6;6;7;6;6;4;6;5;4;"N";"N";"N";"N";"N";"N";"O";"N";129;21;35;27;25;21
33;"BRU_1";"2012/2015";"F";1993;19;7;5;4;4;3;4;6;5;4;7;6;4;4;5;5;4;6;5;7;4;3;3;5;3;6;5;5;"N";"N";"N";"N";"N";"O";"N";"N";124;20;29;36;19;20
34;"BRU_1";"2012/2015";"F";1992;20;7;5;7;4;1;5;7;7;7;4;6;3;5;5;3;3;3;6;6;5;2;4;6;2;6;2;5;"N";"O";"N";"N";"N";"N";"N";"N";121;23;35;22;17;24
35;"BRU_1";"2012/2015";"F";1991;21;7;7;6;5;6;6;7;7;4;7;5;5;5;6;7;5;5;4;7;5;1;5;7;3;4;5;5;"O";"O";"O";"N";"O";"N";"N";"N";141;21;38;41;22;19
36;"BRU_1";"2012/2015";"F";1991;21;7;6;6;5;5;7;7;6;3;7;3;5;7;7;6;5;5;6;7;7;5;7;7;6;6;6;5;"O";"O";"N";"N";"O";"N";"N";"N";154;27;40;44;24;19
37;"BRU_1";"2012/2015";"M";1985;27;7;3;4;6;5;5;7;6;4;7;1;5;7;5;6;6;6;6;6;5;6;5;6;6;4;6;5;"N";"N";"N";"N";"N";"O";"N";"N";140;25;32;47;22;14
38;"BRU_1";"2012/2015";"M";1991;21;6;3;3;5;5;6;7;4;2;4;7;1;5;4;5;2;4;3;6;2;2;7;5;4;6;5;5;"N";"N";"N";"N";"N";"O";"N";"N";113;16;29;30;17;21
39;"BRU_1";"2012/2015";"F";1990;22;5;7;7;4;3;1;4;7;4;7;1;3;3;4;7;4;4;4;7;3;4;5;5;4;2;4;5;"O";"O";"O";"N";"N";"N";"N";"N";113;15;35;33;22;8
40;"BRU_1";"2012/2015";"F";1990;22;6;6;5;3;5;5;6;5;5;5;2;5;6;5;5;3;3;5;6;4;5;5;5;4;4;5;5;"O";"O";"N";"N";"O";"N";"N";"N";123;21;31;33;22;16
41;"BRU_1";"2012/2015";"M";1992;20;6;6;7;4;5;5;3;6;2;5;1;3;5;5;6;4;4;6;7;5;3;5;5;3;3;6;5;"O";"N";"O";"N";"N";"N";"N";"N";120;22;35;34;18;11
42;"BRU_1";"2012/2015";"F";1992;20;7;6;6;4;4;6;5;6;7;7;5;5;5;5;6;5;5;6;6;4;4;6;5;5;6;6;6;"N";"N";"N";"N";"N";"N";"N";"N";142;22;34;41;21;24
43;"BRU_1";"2012/2015";"F";1991;21;7;5;6;5;4;5;7;7;6;6;4;5;5;5;6;4;5;5;6;4;4;5;6;4;6;5;6;"N";"N";"N";"N";"N";"N";"N";"N";137;21;35;38;22;21
44;"BRU_1";"2012/2015";"F";1992;20;7;7;6;4;4;6;7;7;7;7;7;4;3;6;6;4;3;7;7;5;4;7;7;5;7;5;6;"O";"N";"O";"N";"N";"N";"N";"N";149;22;40;36;24;27
45;"BRU_1";"2012/2015";"F";1990;22;7;7;5;3;2;2;7;7;4;4;1;2;1;3;5;3;3;7;7;4;4;4;4;3;2;4;6;"O";"N";"N";"N";"N";"N";"N";"N";105;19;30;24;23;9
46;"BRU_1";"2012/2015";"F";1991;21;7;6;6;4;5;6;4;6;5;5;5;4;6;6;6;4;5;5;6;5;4;5;6;4;5;5;6;"O";"N";"O";"N";"N";"N";"N";"N";135;23;35;36;20;21
47;"BRU_1";"2012/2015";"F";1991;21;7;5;3;2;1;6;7;7;7;7;4;2;5;5;5;4;3;6;7;4;6;4;6;3;7;5;6;"O";"N";"N";"N";"N";"O";"N";"N";128;22;32;27;23;24
48;"BRU_1";"2012/2015";"F";1978;34;6;5;5;5;3;7;7;7;7;6;4;3;5;5;6;5;5;6;7;6;4;5;7;5;5;5;6;"O";"N";"O";"N";"N";"N";"N";"N";141;23;36;37;22;23
49;"BRU_1";"2012/2015";"F";1985;27;6;7;6;5;4;6;7;7;5;7;5;4;5;7;7;5;5;6;7;5;5;7;7;5;5;6;6;"O";"N";"O";"N";"N";"N";"N";"N";151;22;41;41;26;21
50;"BRU_1";"2012/2015";"F";1972;40;5;7;7;5;4;6;7;7;5;6;3;3;4;5;5;4;4;6;6;5;6;5;7;5;5;5;6;"O";"N";"O";"N";"O";"N";"N";"N";137;20;37;36;25;19
51;"BRU_1";"2012/2015";"F";1983;29;7;7;7;4;3;7;7;7;4;7;4;3;3;5;6;4;4;3;5;4;4;6;7;4;7;7;7;"N";"N";"N";"N";"N";"N";"N";"N";136;17;37;36;24;22
52;"BRU_1";"2012/2015";"F";1990;22;7;5;5;4;4;4;4;6;6;5;5;2;3;4;6;5;4;3;6;4;6;5;7;5;7;5;7;"O";"N";"O";"N";"N";"N";"N";"N";127;17;33;34;21;22
53;"BRU_1";"2012/2015";"M";1987;25;5;4;6;4;2;4;6;6;3;5;1;1;4;4;4;3;4;5;5;5;1;4;5;2;3;3;7;"N";"N";"N";"N";"N";"O";"N";"N";99;19;30;24;15;11
54;"BRU_1";"2012/2015";"M";1989;23;6;5;6;4;3;1;7;4;1;5;5;1;7;2;5;3;3;2;6;6;5;2;4;2;4;5;7;"N";"N";"N";"N";"N";"O";"N";"N";104;21;24;26;22;11
55;"BRU_1";"2012/2015";"F";1991;21;4;6;7;4;4;1;7;7;4;7;1;4;4;7;7;4;4;4;7;4;7;7;7;4;6;5;7;"O";"N";"N";"N";"N";"N";"N";"N";133;16;42;36;27;12
56;"BRU_1";"2012/2015";"F";1988;24;5;4;5;3;3;4;7;7;6;5;5;4;5;4;4;4;4;5;7;5;4;4;5;3;4;4;7;"O";"N";"O";"N";"N";"N";"N";"N";120;20;32;30;19;19
57;"BRU_1";"2012/2015";"F";1990;22;7;2;6;1;1;7;4;5;4;3;1;1;1;1;1;4;1;4;5;3;1;1;4;1;3;1;7;"O";"N";"O";"N";"N";"N";"N";"O";73;15;22;13;8;15
58;"BRU_1";"2012/2015";"F";1992;20;7;6;4;2;5;4;6;6;4;6;3;5;7;5;7;4;4;4;6;2;1;4;7;4;5;7;7;"N";"N";"N";"N";"N";"O";"N";"N";125;20;32;37;20;16
59;"BRU_1";"2012/2015";"F";1992;20;6;6;6;5;5;3;7;6;6;6;5;5;4;6;6;5;5;6;6;6;5;7;6;5;5;6;7;"N";"N";"N";"N";"N";"O";"N";"N";144;22;37;42;24;19
60;"BRU_1";"2012/2015";"M";1990;22;6;7;5;7;6;5;6;4;5;7;6;5;7;5;6;6;5;5;7;3;6;7;6;6;4;6;8;"O";"O";"N";"N";"N";"N";"N";"N";148;21;34;48;25;20
61;"BRU_1";"2012/2015";"M";1992;20;6;2;6;2;2;1;7;5;5;6;1;2;4;4;5;2;3;3;6;4;1;4;4;2;1;2;8;"O";"O";"N";"N";"N";"N";"N";"N";90;17;29;21;15;8
62;"BRU_1";"2012/2015";"M";1991;21;5;7;6;6;7;5;6;7;7;7;5;7;7;7;7;6;6;6;7;5;6;6;7;6;5;6;8;"O";"O";"N";"N";"N";"N";"N";"N";162;23;40;51;26;22
63;"BRU_1";"2012/2015";"M";1989;23;6;5;6;3;4;4;6;6;2;6;1;4;5;2;6;2;2;1;3;2;6;3;4;5;3;3;8;"O";"N";"N";"N";"O";"N";"N";"N";100;14;24;29;23;10
64;"BRU_2";"2011/2014";"M";1974;38;7;7;7;4;4;4;4;7;1;7;1;1;7;7;7;5;5;7;7;7;1;7;7;4;1;4;1;"O";"N";"N";"N";"O";"N";"N";"N";130;28;42;34;19;7
65;"BRU_2";"2011/2014";"M";1978;34;7;3;5;4;3;5;4;6;3;5;1;2;5;5;4;4;4;5;5;6;2;5;5;2;2;4;1;"O";"N";"N";"N";"O";"N";"O";"N";106;23;31;28;13;11
66;"BRU_2";"2011/2014";"F";1991;21;1;4;2;4;2;5;7;2;7;2;4;3;1;4;2;5;5;1;7;1;7;4;1;3;7;3;1;"O";"N";"N";"O";"O";"N";"N";"N";94;4;20;27;20;23
67;"BRU_2";"2011/2014";"M";1991;21;7;5;5;4;4;7;7;5;7;7;1;2;4;4;4;4;4;7;7;5;5;7;7;4;7;4;1;"O";"O";"N";"N";"N";"N";"N";"N";134;23;35;33;21;22
68;"BRU_2";"2011/2014";"F";1992;20;7;6;6;5;7;6;6;6;4;7;4;6;7;6;7;5;5;6;5;6;6;6;6;6;3;6;1;"O";"N";"N";"N";"O";"N";"N";"N";150;26;35;47;25;17
69;"BRU_2";"2011/2014";"F";1989;23;7;4;5;4;2;6;7;6;6;5;3;2;3;6;4;5;5;4;7;3;6;7;7;4;7;5;1;"O";"O";"N";"N";"O";"N";"N";"N";130;17;38;32;21;22
70;"BRU_2";"2011/2014";"F";1992;20;7;7;7;3;3;7;7;7;7;7;7;4;7;6;7;5;6;5;7;6;3;6;7;6;6;7;1;"O";"N";"N";"N";"O";"N";"O";"N";157;25;40;41;24;27
71;"BRU_2";"2011/2014";"F";1992;20;4;6;4;3;5;7;6;6;5;7;7;5;5;7;6;5;3;6;6;3;7;6;5;2;7;5;1;"O";"N";"N";"N";"N";"N";"O";"N";138;18;34;35;25;26
72;"BRU_2";"2011/2014";"F";1984;28;7;6;6;2;3;2;4;5;1;3;3;2;2;2;4;3;3;3;4;1;5;2;2;5;7;3;2;"O";"N";"N";"N";"N";"N";"N";"N";90;13;21;24;19;13
73;"BRU_2";"2011/2014";"F";1991;21;4;7;4;4;5;7;7;7;4;6;1;1;1;7;7;7;6;7;7;4;7;7;7;4;1;4;2;"O";"N";"N";"N";"N";"N";"N";"N";133;16;39;37;28;13
74;"BRU_2";"2011/2014";"F";1991;21;6;7;6;5;1;6;7;6;6;7;4;1;4;6;5;3;3;7;7;4;2;7;7;2;6;4;2;"O";"N";"O";"N";"N";"N";"N";"N";129;21;39;26;21;22
75;"BRU_2";"2011/2014";"F";1985;27;7;7;7;4;7;4;7;5;7;7;7;5;7;5;7;5;5;6;6;6;7;7;7;5;5;7;2;"O";"N";"N";"N";"O";"N";"O";"N";159;26;37;45;28;23
76;"BRU_2";"2011/2014";"F";1960;52;7;6;6;6;5;6;6;7;6;6;7;5;7;7;6;6;7;6;7;5;5;7;7;6;6;6;2;"O";"N";"N";"O";"O";"N";"N";"N";161;25;41;47;23;25
77;"BRU_2";"2011/2014";"F";1987;25;4;7;4;4;4;2;5;3;1;6;1;4;5;4;6;4;4;3;5;5;5;4;2;4;1;5;2;"O";"N";"O";"N";"O";"N";"N";"N";102;17;22;35;23;5
78;"BRU_2";"2011/2014";"F";1982;30;7;5;5;5;4;4;2;5;4;6;4;4;7;5;3;4;4;5;6;4;1;4;6;5;1;6;2;"O";"N";"N";"N";"N";"N";"N";"N";116;23;31;38;11;13
79;"BRU_2";"2011/2014";"F";1991;21;7;5;4;2;2;4;6;7;5;5;5;3;5;5;5;3;5;5;5;2;4;6;6;3;3;5;2;"O";"N";"N";"O";"N";"N";"N";"N";117;19;33;28;20;17
80;"BRU_2";"2011/2014";"F";1991;21;7;6;6;4;3;3;5;7;6;5;6;3;7;6;7;5;4;3;7;6;2;6;6;5;7;5;3;"O";"N";"N";"N";"O";"N";"N";"N";137;23;38;34;20;22
81;"BRU_2";"2011/2014";"F";1992;20;7;7;6;6;3;6;1;6;6;7;1;3;6;7;6;6;5;7;7;6;4;7;7;6;2;5;3;"N";"N";"N";"N";"O";"N";"N";"N";140;26;40;41;18;15
82;"BRU_2";"2011/2014";"F";1987;25;7;7;7;4;2;7;1;5;5;7;1;1;5;7;7;4;4;7;5;4;5;7;7;4;5;5;3;"O";"N";"O";"N";"N";"N";"N";"N";130;23;38;31;20;18
83;"BRU_2";"2011/2014";"F";1975;37;7;5;4;4;4;7;4;7;7;5;7;4;4;4;4;3;5;4;7;2;5;1;1;3;7;4;3;"O";"N";"N";"N";"O";"N";"N";"N";119;17;24;32;18;28
84;"BRU_2";"2011/2014";"F";1990;22;7;6;4;5;4;7;3;6;7;6;5;4;6;4;4;5;5;5;5;4;4;4;5;4;3;4;3;"O";"N";"N";"N";"N";"O";"O";"N";126;22;28;37;17;22
