"NUMERO","ECOLE","PROMO","SEXE","ANNEE","QUEST.1","QUEST.2","QUEST.3","QUEST.4","QUEST.5","QUEST.6","QUEST.7","QUEST.8","QUEST.9","QUEST.10","QUEST.11","QUEST.12","QUEST.13","QUEST.14","QUEST.15","QUEST.16","QUEST.17","QUEST.18","QUEST.19","QUEST.20","QUEST.21","QUEST.22","QUEST.23","QUEST.24","QUEST.25","QUEST.26","RANG","M.PLACE","AFFINITES","HABITUDE","PAS.BRUIT","PRATIQUE","PLACE.RES","CONCENTR","DECROCHE","REDOUBLA","NOTE"
"1",1,"MAIEU","2010/2014","F",1990,7,6,7,5,6,7,7,7,6,7,4,5,7,7,5,4,5,7,6,6,7,7,7,5,6,6,1,"O","","","","","","O","",NA,11.83
"2",2,"MAIEU","2010/2014","F",1990,7,6,6,4,4,7,7,7,6,6,1,4,7,5,7,5,5,5,7,4,4,5,6,2,2,6,1,"O","","","","O","","","",NA,13.54
"3",3,"MAIEU","2010/2014","F",1972,7,6,6,7,5,2,3,7,1,7,1,5,7,4,6,6,5,7,7,6,1,4,7,7,2,7,2,"O","","O","","","","","",NA,6.88
"4",4,"MAIEU","2010/2014","F",1990,7,6,6,5,4,5,6,6,3,6,3,2,7,4,5,4,4,5,6,3,2,3,4,4,6,6,2,"O","O","","","","","","",NA,9.25
"5",5,"MAIEU","2010/2014","F",1989,7,4,6,1,4,4,7,7,7,6,4,1,3,3,4,1,3,3,5,6,2,2,4,2,1,6,2,"O","O","","","","","","",NA,9.33
"6",6,"MAIEU","2010/2014","F",1990,6,5,4,3,3,4,6,5,3,5,2,3,5,4,5,3,3,5,5,4,3,3,4,3,2,5,2,"O","","","","","","","",NA,6
"7",7,"MAIEU","2010/2014","F",1990,7,4,4,2,4,4,5,6,6,5,5,2,5,4,4,2,2,4,6,5,3,3,7,3,5,4,3,"O","O","","","","","O","",NA,12.83
"8",8,"MAIEU","2010/2014","F",1990,7,5,4,5,3,3,6,3,7,3,1,2,7,3,5,3,3,4,5,7,4,3,6,3,5,5,3,"O","O","","","","","","",NA,8.5
"9",9,"MAIEU","2010/2014","F",1991,5,6,3,3,4,6,4,5,5,4,3,4,3,3,5,2,4,5,6,4,6,4,6,5,2,5,3,"O","O","O","","","","","",NA,11.25
"10",10,"MAIEU","2010/2014","F",1990,6,6,5,4,4,4,7,4,3,5,1,4,6,4,5,4,4,4,5,4,4,3,3,4,3,5,3,"O","","O","","","","","",NA,7.25
"11",11,"MAIEU","2010/2014","F",1990,7,7,6,5,5,4,5,5,5,6,5,5,7,5,7,4,5,4,4,4,5,4,5,5,4,6,3,"O","O","","","","","","",NA,6.08
"12",12,"MAIEU","2010/2014","F",1990,7,6,6,5,4,5,5,6,5,6,4,5,7,6,6,5,5,6,6,5,6,6,6,5,6,6,3,"O","O","","","","","","",NA,9
